date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:12	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:03:41%20GMT	http://ndesaintheme.com/robots.txt		(from )
14:21:13	67698/67698	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2017:21:16%20GMT	http://ndesaintheme.com/themes/apricot/	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/index.html	(from )
14:21:14	67604/67604	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Jun%202014%2002:42:36%20GMT	http://ndesaintheme.com/themes/apricot/assets/css/style.css	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/assets/css/style.css	(from http://ndesaintheme.com/themes/apricot/)
14:21:14	483/483	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Jul%202014%2006:24:52%20GMT	http://ndesaintheme.com/themes/apricot/assets/css/loader-style.css	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/assets/css/loader-style.css	(from http://ndesaintheme.com/themes/apricot/)
14:21:14	123021/123021	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2007:43:14%20GMT	http://ndesaintheme.com/themes/apricot/assets/css/bootstrap.css	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/assets/css/bootstrap.css	(from http://ndesaintheme.com/themes/apricot/)
14:21:14	737/737	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20May%202014%2008:26:00%20GMT	http://ndesaintheme.com/themes/apricot/assets/js/progress-bar/number-pb.css	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/assets/js/progress-bar/number-pb.css	(from http://ndesaintheme.com/themes/apricot/)
14:21:16	1110/1110	---M--	200	added ('OK')	image/png	date:Mon,%2012%20May%202014%2001:50:22%20GMT	http://ndesaintheme.com/themes/apricot/assets/ico/minus.png	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/assets/ico/minus.png	(from http://ndesaintheme.com/themes/apricot/)
14:23:23	53423/53423	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:52%20GMT	http://ndesaintheme.com/themes/apricot/blog-list.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/blog-list.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:24	55175/55175	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:52%20GMT	http://ndesaintheme.com/themes/apricot/blog-detail.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/blog-detail.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:24	68902/68902	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:16%20GMT	http://ndesaintheme.com/themes/apricot/social.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/social.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:25	53604/53604	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:18%20GMT	http://ndesaintheme.com/themes/apricot/media.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/media.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:25	67698/67698	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2017:21:16%20GMT	http://ndesaintheme.com/themes/apricot/index.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/index-2.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:26	75366/75366	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:20%20GMT	http://ndesaintheme.com/themes/apricot/mail.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/mail.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:27	126765/126765	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:34%20GMT	http://ndesaintheme.com/themes/apricot/icon.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/icon.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:27	38532/38532	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:54%20GMT	http://ndesaintheme.com/themes/apricot/blank_page.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/blank_page.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:27	56050/56050	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:16%20GMT	http://ndesaintheme.com/themes/apricot/profile.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/profile.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:27	44983/44983	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:32%20GMT	http://ndesaintheme.com/themes/apricot/invoice.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/invoice.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:28	45251/45251	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:18%20GMT	http://ndesaintheme.com/themes/apricot/pricing_table.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/pricing_table.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:28	44774/44774	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:12%20GMT	http://ndesaintheme.com/themes/apricot/time-line.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/time-line.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:28	2679/2679	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:56%20GMT	http://ndesaintheme.com/themes/apricot/404.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/404.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:29	2679/2679	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:56%20GMT	http://ndesaintheme.com/themes/apricot/500.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/500.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:29	4074/4074	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202014%2007:24:26%20GMT	http://ndesaintheme.com/themes/apricot/lock-screen.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/lock-screen.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:30	7730/7730	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:39:22%20GMT	http://ndesaintheme.com/themes/apricot/login.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/login.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:30	50574/50574	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:48%20GMT	http://ndesaintheme.com/themes/apricot/element.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/element.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:30	60582/60582	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:50%20GMT	http://ndesaintheme.com/themes/apricot/button.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/button.html	(from http://ndesaintheme.com/themes/apricot/)
14:23:31	54208/54208	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2006:38:58%20GMT	http://ndesaintheme.com/themes/apricot/wizard.html	C:/My%20Websites/bootstarp/ndesaintheme.com/themes/apricot/wizard.html	(from http://ndesaintheme.com/themes/apricot/)
